year,city,country,avg_temp
1956,Columbus,United States,14.63
1957,Columbus,United States,14.82
1958,Columbus,United States,13.34
1959,Columbus,United States,14.71
1960,Columbus,United States,13.63
1961,Columbus,United States,13.92
1962,Columbus,United States,14.11
1963,Columbus,United States,13.44
1964,Columbus,United States,14.28
1965,Columbus,United States,14.40
1966,Columbus,United States,13.64
1967,Columbus,United States,13.82
1968,Columbus,United States,13.61
1969,Columbus,United States,13.59
1970,Columbus,United States,14.29
1971,Columbus,United States,14.38
1972,Columbus,United States,14.17
1973,Columbus,United States,14.84
1974,Columbus,United States,14.53
1975,Columbus,United States,14.62
1976,Columbus,United States,13.37
1977,Columbus,United States,14.19
1978,Columbus,United States,13.59
1979,Columbus,United States,13.64
1980,Columbus,United States,14.05
1981,Columbus,United States,13.80
1982,Columbus,United States,14.50
1983,Columbus,United States,14.04
1984,Columbus,United States,14.31
1985,Columbus,United States,14.39
1986,Columbus,United States,15.13
1987,Columbus,United States,14.85
1988,Columbus,United States,13.99
1989,Columbus,United States,13.89
1990,Columbus,United States,15.54
1991,Columbus,United States,15.31
1992,Columbus,United States,14.02
1993,Columbus,United States,14.21
1994,Columbus,United States,14.39
1995,Columbus,United States,14.39
1996,Columbus,United States,13.92
1997,Columbus,United States,14.15
1998,Columbus,United States,15.92
1999,Columbus,United States,15.28
2000,Columbus,United States,14.61
2001,Columbus,United States,14.98
2002,Columbus,United States,15.20
2003,Columbus,United States,14.40
2004,Columbus,United States,14.88
2005,Columbus,United States,14.87
2006,Columbus,United States,15.31
2007,Columbus,United States,15.35
2008,Columbus,United States,14.46
2009,Columbus,United States,14.46
2010,Columbus,United States,14.64
2011,Columbus,United States,15.24
2012,Columbus,United States,15.91
2013,Columbus,United States,16.05
